哦	o2，真不走运。	Oh, that's tough luck.
架子	把饼乾放到上面的jia4zi5上.	Put the biscuits on the shelf above.
破碎	飞机撞上了山而po4sui4。	The plane struck on the hill and went to pieces.
燕子	英国来的yan4zi5飞到南非那样远的地方。	Swallows from England go as far as South Africa.
厌烦	听相同的故事是令人yan4fan2的。	It is boring to listen to the same story.
憎恨	感到厌恶的，感到zeng1hen4的	Feeling repugnance or loathing.
得以	这些计划终於de2yi3实施.	The plans were finally put into execution.
常见	忙中有错是很chang2jian4的。	Haste makes waste, as is often the case.
反弹	球打在墙上又fan3tan2回来。	The ball hit the wall and bounced off it.
融合	附着的与同类的部分或组织粘着但不rong2he2的	Sticking to but not fused with a part or an organ of the same kind.
出动	chu1dong4了警察将集会驱散.	Police were called in to break up the meeting.
卡住	那把刀子被ka3zhu4了，她猛地一拔，把它拔了出来。	The knife was stuck but she pulled it out with a jerk.
型号	他把旧汽车折价添钱买了辆新xing2hao4的。	He traded in his car for a new model.
管理员	这座公寓的guan3li3yuan2不在公寓里住.	This block of flats has a non-resident caretaker.
卢	lu2·格里克打一垒	Lou Gehrig played first base.
真情	他不敢把令人不快的zhen1qing2告诉他们。他是条哑吧狗。	He is afraid to tell them the unpalatable truths. He is a dumb dog.
业绩	首次飞跃大西洋是一项了不起的ye4ji4。	Flying across the Atlantic for the first time was a great achievement.
微微	一盏小灯笼在黑暗中wei1wei1闪光。	A little lantern blinked in the darkness.
体育馆	篮球运动员们正在ti3yu4guan3进行训练。	The basketball players are working out at the gym.
想象力	我女儿是一个xiang3xiang4li4活跃的孩子。	My daughter is a child with vivid imagination.
诚意	他真心cheng2yi4地愿意帮助我们。	He has a genuine desire to help us.
刀子	他用一把dao1zi5将苹果切开。	He cleaved an apple with a knife.
恶意	他纯粹出於e4yi4抨击政府.	His attack on the government was pure vitriol.
豆子	在黎巴嫩的雪松下吃枣子跟在贝肯街吃炒糊了的dou4zi5一样，都是那么令人乏味。	The bore is the same eating dates under the cedars of Lebanon as over baked beans in Beacon Street.
好感	他尽其所能去赢得他的hao3gan3。	He did all he could to win his favor.
颈	大猫叼著小猫的jing3背.	The cat picked up the kitten by the scruff of its neck.
带到	那个嫌疑犯被dai4dao4警察局问话.	The suspect was taken to the police station for questioning.
牢房	囚犯绝望地乱抓lao2fang2的门.	The prisoner clawed at the cell door in desperation.
拍卖	军队正在把大量旧装备pai1mai4掉.	The Army is auctioning off a lot of old equipment.
晕倒	有个年幼的学生在炎炎烈日下yun1dao3了。	A young student fainted in the hot sun.
背心	他的衬衫很薄, 连里面穿的bei4xin1都能看见.	His shirt was so thin that his vest showed through (it).
永不	在这样的高度，雪yong3bu4融化。	In these altitudes snow never melts.
丛林	这只老虎拖着它的猎物进了cong2lin2。	The tiger dragged its kill into the jungle.
游艇	他们在雷达屏上看到了那艘you2ting3.	They picked up the yacht on their radar screen.
劫匪	那些jie2fei3都戴著面罩蒙著脸.	The robbers all wore hoods to hide their faces.
罗杰	她开始与Luo2jie2外出约会, 就把我撇开了.	She gave me the elbow when she started going out with Roger.
恰	他们qia4在发洪水之前离开, 走得真是时候.	Their departure just before the floods was providential.
姑妈	去年秋天埃米莉gu1ma1做了12瓶番茄酱。	Aunt Emily put up a dozen cans of tomato last fall.
小费	别忘了给服务员xiao3fei4.	Please remember (ie Don't forget to tip) the waiter.
血腥	农民起义，农民暴动农民暴动，特别是指xue4xing1大暴动	A peasant revolt, especially a very bloody one.
无缘	我对艺术一窍不通，我没见过什么大人物，我也不进好裁缝铺，这些全与我wu2yuan2。我不是出自他所认为的社会上层。	I don't know anything about art, and I haven't met any grand people, and I don't go to a good tailor, and all that, I'm not what he calls out of the top drawer.
州长	我很荣幸能介绍我们的zhou1zhang3	I have the honor to present the governor.
虔诚	他十分qian2cheng2地崇拜女明星。	He adores this screen goddess with godliness.
腹部	他在我fu4bu4撞了一下。	He gave me a butt on the stomach.
火山	huo3shan1气体的温度很高。	The temperature of volcanic gases is very high.
一味	一个正直的法官不能yi1wei4顺从舆论。	An honest judge cannot be servile to public opinion.
特地	我te4di4为你做了个蛋糕。	I made a cake specially for you.
大清早	他总是da4qing1zao3给我打电话.	He's eternally telephoning me early in the morning.
病房	这医院有内科bing4fang2和外科bing4fang2。	The hospital have a medical ward and a surgical ward.
搜寻	他拼命在她的书桌里sou1xun2那封信。	He was rifling through her desk in a desperate search for the letter.
毒素	经分析发现蛋糕里含有微量的du2su4。	The cake on analysis was found to contain traces of toxin.
涨价	现在的钢材zhang3jia4了。	Now the steel comes high.
体温	她的ti3wen1降下不来。	Her temperature won't come down.
个头	他ge4tou2很大, 夹在我和窗户之间, 我看不见外边的东西了.	He interposed his considerable bulk (ie body) between me and the window, so that I could not see out.
提早	这个孩子是ti2zao3五周生下来的。	The baby was five weeks premature.
伊丽莎白	英国女王Yi1li4sha1bai2一世时代是探索和发现的时代.	The Elizabethan age was a time of exploration and discovery.
道别	我匆忙离开那个村子, 甚至没有时间和我的向导dao4bie2。	I left the village in a hurry and even had no time to say good-bye to my guide.
前任	希思先生是英国qian2ren4首相。	Mr. Heath is the former Prime Minister of Britain.
外国人	我奶奶对wai4guo2ren2抱有偏见。	My grandmother has a complex against foreigners.
茶叶	这个商人收到了一船cha2ye4。	The merchant had received a shipment of tea.
脸红	这姑娘太害羞以至和男人讲话时就lian3hong2。	The girl is so shy that she colours up whenever a man speaks to her.
常客	那一群说三道四的chang2ke4们聚集在小酒店里，议论那对医生夫妇。	The regulars are holding a mother's meeting down at the pub to discuss the news about the doctor and his wife.
斗志	失败的消息夺走了我们所有的dou4zhi4。	The news of defeat took all the fight out of us.
实习生	shi2xi2sheng1接受有指导性实践训练的高年级学生或新毕业的学生	An advanced student or a recent graduate undergoing supervised practical training.
运送	散装yun4song4货物更方便。	It is more convenient to transport the goods in bulk.
娇	她长得jiao1柔美丽。	She is delicate and pretty in person.
景象	那幅画和当时的jing3xiang4完全一致。	The drawing is on all fours with the scene at that moment.
叠	他掏出一die2用旧了的纸币。	He pulled out a pile of used bank note.
提交	他向老板ti2jiao1了一份报告。	He submitted a report to his boss.
管道	发动机将水沿guan3dao4抽来。	The engine draws water along the pipe.
流水	我听见有liu2shui3的声音.	I can hear running water.
扮	小丑ban4出了可笑的鬼脸。	The clowns pulled funny faces.
终生	那次事故使他毁容，zhong1sheng1无法恢复。	The accident disfigured him for life.
大亨	除非某个心怀不满的da4heng1加以反对并威胁要退出，这样决定下来的名单就成了人名单。如果出现反对或退出的行为，那就称为“撕毁候选人名单”。	The list so settled it now a slate, unless some discontented magnate objects and threatens to withdraw. To do so is called""breaking the slate"".
十字架	shi2zi4jia4是基督教的象征。	The Cross is the symbol of Christianity.
舰队	有一名叛变者透露了敌方jian4dui4的部署.	A defector revealed the disposition of the enemy fleet.
看成	不应把人的因素kan4cheng2是经济体制的附庸.	People should not be regarded as subservient to the economic system.
往前	那个小男孩在他母亲身边跳跳蹦蹦地wang3 qian2走。	The little boy skipped along at his mother's side.
皮带	警察系上pi2dai4，走了出去。	The police belted up and went out.
国民	英国guo2min218岁始有选举权.	UK nationals get the vote at 18.
可耻	这些年，他干了许多ke3chi3的事情。	He has done many dishonorable things these years
十七	结果非常令人吃惊——六个月增长百分之七shi2qi1。	The result is quite startling-- a77% increase in six months.
发音	开的fa1yin1时，舌头放低并放平，口腔敞开，正如bath一词中的a和father中的afa1yin1一样时。用于元音fa1yin1	Pronounced with the tongue placed low and flat and with the oral cavity wide open, like the a in bath when pronounced like the a in father. Used of vowels.
状	谁将起草起诉zhuang4？	Who will draft the indictment?
公爵	gong1jue2命令仆人把一封信送给国王。	The duke ordered the servant to send a letter to the king.
转弯	在第二个zhuan3wan1处向左转。	Take the second turning on the left.
罐子	这些guan4zi5可盛的液体多少不等[容量不同].	The jars hold different volumes of liquid/have different volumes.
大雾	飞机因da4wu4推迟降落。	The plane's landing was delayed because of fog.
暴躁	胆汁质（bao4zao4）的哲学家的世界观，要加上一小撮盐方能接受，惟以泻盐为较佳。	A bilious philosopher's opinion of the world can only be accepted with a pinch of salt, of epsom salt by preference.
证券	纽约是国际zheng4quan4与股票的交易中心。	New York is an international mart for stocks and shares.
流畅	具有不同凡响的深度和liu2chang4性的一次钢琴演奏	A piano performance of particular depth and fluidity.
看病	要她去牙科医生那里kan4bing4非得生拉硬拽不可.	She had to be dragged into seeing the dentist.
赌注	抽头扑克牌戏中每一次du3zhu4的一部分凑集成的钱	A fund made up of a portion of each pot in a poker game.
懦夫	nuo4fu1一生要经过许多次死的痛苦。	Cowards die many times before their death.
园	yuan2中有一堆马铃薯。	There is a pile of potato in the garden.
抢购	大减价货物中最便宜的物品很快qiang3gou4一空.	The cheapest articles at the sale were quickly snapped up.
求救	她向她父亲喊叫qiu2jiu4。	She called to her father for help.
长度	她用步子测量了房间的chang2du4.	She paced out the length of the room.
以色列	摩西率领Yi3se4lie4的子民离开了埃及。	Moses led the children of Israel out of the Egypt.
尺寸	我可以量一下您的chi3cun4吗？	Can I take your measurements?
瑞典	斯堪的那维亚是指丹麦、挪威、Rui4dian3和冰岛。	Scandinavia refers to Denmark, Norway, Sweden and Iceland.
画家	莫奈是印象派hua4jia1。	Manet is a painter of impressionism.
思路	我恐怕没有抓住你的论据的si1lu4。	I'm afraid I've lost the thread of your argument.
称之为	他们爱举行戏cheng1zhi1wei2文学晚会的活动.	They're fond of holding what are laughingly known as literary soirees.
全家	他们quan2jia1除他以外头发都是红的. 正所谓有例外才证明有规律嘛.	All his family have red hair except him. He is the exception which proves the rule.
看清	距离六英里以外的东西很难kan4qing1.	At a distance of six miles you can't see much.
停机	在计算机程序运行过程中发生的一种不希望有的或意料之外的ting2ji1，一般是由于编码失误、硬件故障或操作者的错误而引起的。参阅run。	In computing, an unwanted or unforeseen halt in a program run, due to faulty coding, hardware errors or operator mistakes.
伤疤	那次事故後她的腿上留下了shang1ba1。	The accident left a scar on her leg.
卑劣	恶毒或bei1lie4的行为	A spiteful or malicious act.
框	这种金属kuang4受压後容易变形。	The metal frame tends to twist under pressure.
取笑	别qu3xiao4青年人的装模作样；他们只不过是为了找寻自我而逐一试装出各种面孔罢了。	Do not laugh at a youth for his affectations; he is only trying on one face after another to find his own.
后者	人不同于野兽，因前者能笑，而hou4zhe3却不能。	Man differs from beasts in that the former is able to laugh, while the latter aren't.
普通人	想过舒适的生活不过是pu3tong1ren2的本性。	It's only human nature to want a comfortable life.
招募	我们难以zhao1mu4到素质好的职员。	We are having difficulties in recruiting well-qualified staff.
控告	对他贪污的kong4gao4已经提出.	Accusations of corruption have been made/brought/laid against him.
明月	一轮ming2yue4当空照耀着。	Overhead the moon was shining.
黑白	这胶卷是彩色的还是hei1-bai2的?	Is the film in colour or black and white?
出错	她意识到在所采用的方法中可能chu1cuo4.	She recognized the potential for error in the method being used.
触摸	油漆未乾--请勿chu4mo1.	Fresh paint please do not touch.
过世	她写道：亲爱的詹姆斯，刚听说你妻子guo4shi4了，我真不知道该怎样表达我的悲伤之情。	Dear James, she wrote, I have just heard of your wife's death. I can't tell you how sorry I am.
价值观	和美国家庭的这种爱同时并存的是自强及独立的文化jia4zhi2guan1。	Coexisting with such love in the American family are cultural values of self-reliance and independence.
过人	他听说guo4ren2是有一定的自由（纬度）与寡妇来往的，于是乎他就追求180度的全部自由去了。	He has heard that one is permit a certain latitude with widow, and goes in for the whole180 degrees.
坦克	我们需要多调些tan3ke4到前线.	We need to bring up more tanks.
重重	他心事chong2chong2，眉头紧锁。	Care sat heavily on his brow.
橙汁	一杯cheng2zhi1饮料没有什么营养。	There's not much sustenance in a glass of orange squash.
体检	诊断通过评价病人的病史、ti3jian3情况和阅读试验数据的方式对人体机能进行检验或对人体引起病痛的原因进行鉴别的行为或过程	The act or process of identifying or determining the nature and cause of a disease or injury through evaluation of patient history, examination, and review of laboratory data.
名称	这个词是一种野兽的ming2cheng1。	This word denotes a certain kind of animal.
想家	到了这里一个月以后，学生们开始xiang3jia1了。	The students began to feel homesick after they had been here for a month.
彩	失败的队；未中的cai3券	A losing team; a losing lottery ticket.
信用	xin4yong4咨询使我们免除了忧虑	Credit counseling helped us get out from under.
头盔	这些警察戴着tou2kui1保护自己。	These policemen wear helmets to protect them.
衡量	heng2liang2驾驶员水平的决定性考验, 就是看他在紧急关头能否保持镇静.	The acid test of a good driver is whether he remains calm in an emergency.
沟	汽车驶离道路跌进gou1中。	The car ran off the road into a ditch.
看作	我们把蒲公英kan4zuo4希望的象征。	We regard dandelion as an emblem of hope.
最为	这些冷冻食品是zui4wei2方便。	These frozen foods are the most convenient of all.
开业	约翰去南方跑了一趟，打算在那儿kai1ye4。	John made a trip to the South and considered setting up there.
摔跤	别向后看，不然你会shuai1jiao1的。	Don't look behind or you may fall.
杏仁	xing4ren2能吃吗？	Are kernels of apricots edible?
纳粹	几个南美洲国家和Na4cui4德国断绝了外交关系。	Several South American states broke off diplomatic relations with Nazi Germany.
花钱	巧妙的广告诱使人hua1qian2.	Clever advertisements are just temptations to spend money.
课堂	有些教师觉得ke4tang2秩序很难维持.	Some teachers find it difficult to keep order in their classes/to keep their classes in order.
包饺子	bao1 jiao3zi5前，我把瘦肉细细剁碎。	I minced the lean meat finely before making dumplings.
出价	史密斯悄悄地向地向拍卖人做手势，然后把chu1jia4又抬高了1，000元。	Smith signaled the auctioneer quietly and kicked the bid up another thousand.
将要	一场示威游行jiang1yao4发生。	A disorderly demonstration will take place.
条子	有人给你留下这张tiao2zi5.	Someone left you this note/left this note for you.
激光	现在ji1guang1可以用来做手术。	Lasers can be used to perform operations nowadays.
两者	社会是由形形色色的人组成。有些人很好，有些人很坏，也有些人介乎liang3zhe3之间。	Society is made up of a variety of people; some are good, others (are) bad, and still others (are) in between.
保健	她对bao3jian4食品极为讲究了.	She started to become/wax lyrical about health food.
理财	她善于li3cai2。	She is wise in money matters.
是不是	这个问题shi4bu5shi4个圈套?	Is this question a trap?
要不然	除非有钱，yao4bu5ran2我是不会买房子的。	Unless (being) rich, I am not going to buy a house.
笼子	把鸟关在long2zi5里残忍不残忍?	Is it cruel to confine a bird in a cage?
潜在	含意；暗流；内在性质隐含的或含蓄的倾向或意义；qian2zai4势力	An underlying or implied tendency or meaning; an undercurrent.
后院	我那时正在hou4yuan4劈柴。	I was out in the back yard splitting logs.
军官	当jun1guan1的应懂得怎样统率士兵	An officer must know how to handle his men.
好在	这伙小偷计划hao3zai4警察进房搜查时，把偷来的手表栽赃到同住的房客身上。	The thieves had planned to plant the stolen watches on a fellow lodger if the police came to search the house.
饮酒	酗酒成性的人承认yin3jiu3过度是弊多利少，他这样说实际是自己打自己的嘴巴。	By admitting that excessive drinking does more harm than good, the man who indulged in the practice was condemned out of his own mouth.
福建	Fu2jian4中国东南部的一个省份，濒临东海和台湾海峡。经济以农业和渔业为主，省会为福州。人口27，130，000	A province of southeast China on the East China Sea and the Formosa Strait. Agriculture and fishing are important to its economy. Fuzhou is the capital. Population, 27,130,000.
删	我shan1除了这篇文章的一个段落。	I cut out the paragraph in this article.
无关紧要	我认为在这些本来是wu2guan1-jin3yao4的评论中含有一定的真实性。	I think there is a kernel of truth in these otherwise frivolous comments.
手册	计算机shou3ce4将告诉你如何连接打印机线	The computer manual will tell you how to attach a line printer.
高层	我们的视野受到了那座gao1ceng2建筑物的限制。	Our field of vision is limited by that tall building.
宁	我们ning2死而不投降。	We would rather die than surrender.
朦胧	meng2long2中她只看见树木的轮廓.	She could see only the outline(s) of the trees in the dim light.
有点儿	她you3dian3r5喜欢他.	She kind of/sort of likes him.
弹力	橡皮球tan2li4好.	A rubber ball bounces well.
妖怪	爷爷，你装个yao1guai4！	Be a monster, grandfather!
十六	我的新家在第shi2liu4层。	My new house is on the sixteenth floor.
毯子	太冷了--我再要一条tan3zi5.	It's cold I need another blanket.
英格兰	这条溪谷在Ying1ge2lan2的北部。	The dale is in the north of England.
热气	re4qi4经白色的沙面反射形成了蜃景.	The heat reflected from the white sand formed a mirage.
导师	她的dao3shi1说她进步很大.	Her tutor says she is making good progress.
面粉	面包主要是由mian4fen3做成的。	Bread is chiefly made of flour.
雪茄	他点燃了xue3jia1。	He lit up a cigar.
花瓶	这个hua1ping2的年代比那个的早.	This vase is of an earlier date (ie is older) than that one.
审问	警方对他进行拘留shen3wen4.	The police detained him for questioning.
剥夺	新的新闻审查法目的在於bo1duo2新闻界的言论自由。	The new censorship laws are an attempt to gag the press.
脆	烤面包片，煎面包片一种烤的或油煎的cui4面包片	A small crisp piece of toasted or fried bread.
番茄酱	去年秋天埃米莉姑妈做了12瓶fan1qie2jiang4。	Aunt Emily put up a dozen cans of tomato last fall.
牧场	受惊的牛群向mu4chang3涌去.	The cattle stampeded towards the farm.
苦难	每个人都有ku3nan4需要承受.	We all have our crosses to bear.
说道	兰登作了一次不成功的朗诵。老师有点不悦，对他shuo1dao5：“兰登，你在这门课上好像进步不大，你好像缺乏志向。”	Landon had made an unsuccessful attempt at the recitation, and the doctor, somewhat nettled, said:""Landon, you don't seem to be getting on very fast in this subject.""
少量	shao3liang4的果冻	A dab of jelly.
回事	他们两人并不知道这hui2shi4, 因此一定是另外有人泄露了秘密.	Neither of them knew about it, and the corollary of that is that someone else revealed the secret.
慈悲	他对忏悔的罪人一概ci2bei1为怀。	He is kind and gracious to all sinners who repent.
马车	那是一架漂亮的加冕ma3che1。	That's a beautiful coronation coach.
迪克	Di2ke4摊开了一幅地图。	Dick spread out a map.
墙壁	我的膝盖撞上了qiang2bi4。	I've bumped my knee on the wall.
虚构	xu1gou4，捏造xu1gou4作品或捏造借口的行为	The act of inventing such a creation or pretense.
职员	zhi2yuan2们在专心工作。	The clerks are at work attentively.
班车	在市中心和飞机场之间有往返的穿梭运行ban1che1。	There is a shuttle service between the city center and the air station.
处在	国家chu3zai4危急的状态中。	The country is in a desperate state.
羞愧	他对他的错深感xiu1kui4.	He felt mortified for his mistake.
尿布	从niao4bu4到尊严、又从尊严到解体，只不过是短短的一段岁月而已。	It is but a few short years from diaper to dignity and from dignity to decomposition.
逃亡	时髦，是tao2wang2自庸俗而又惟恐被？上的假斯文。	Fashion is gentility running away from vulgarity, and afraid of being overtake.
难题	我解答不了这个nan2ti2。	I can't solve the problem.
胆小	我一想到要对这样的听众讲话，就有些dan3xiao3。	I was rather daunted by the thought of addressing such an audience.
教导	他jiao4dao3说，战争有正义的和非正义的两种。	He taught that wars can be just or unjust.
先知	汤姆是十六世纪的xian1zhi1。	Tom is one of the seers in the sixteenth century.
吓唬	对不起, 我不是故意xia4hu5你的.	Sorry, I didn't mean to frighten you.
淀粉	糖和dian4fen3在胃里被分解.	Sugar and starch are broken down in the stomach.
与否	不管他愿意yu3fou3，他非得去参加讲座。	Whether he wanted it or not, he had to attend the lecture.
睁开	她zheng1kai1[闭上]眼睛.	She opened/closed her eyes.
无家可归	我很同情那些wu2 jia1 ke3 gui1的人。	I have much sympathy with those homeless people.
茶馆	cha2guan3里有个人在非常自负地侃政治。	A man in the teahouse was laying the law down on politics.
爪子	防御器官动物或植物的防护层，结构或器官，如牙齿，zhua3zi5，荆棘或乌龟的壳	A protective covering, structure, or organ of an animal or a plant, such as teeth, claws, thorns, or the shell of a turtle.
碳	硅铁一种用于生产tan4素钢的铁和硅的合金	An alloy of iron and silicon used in the production of carbon steel.
成年	你已经cheng2nian2了, 这些问题要自己解决。	Since you are already of age now, you should solve the problems by yourself.
忠告	简介给予或接受简洁的预备性的指令、信息或zhong1gao4的行为或步骤	The act or procedure of giving or receiving concise preparatory instructions, information, or advice.
一块儿	咱们来把它们用胶水粘在yi1kuai4r5。	Let's stick them together with gum.
阳光明媚	今天yang2guang1ming2mei4，天气宜人，是吗？	Nice and bright today, is not it?
长寿	他的chang2shou4令他的继承人们不快	His longevity vexed his heirs.
声望	她是个有sheng1wang4的专家。	She is a reputable expert.
小腿	他在石头台阶上（跌倒了,）擦破了xiao3tui3的皮.	He barked his shins (by falling) against some stone steps.
存款	他的cun2kuan3总额达五万元。	His total deposits are50000 yuan.
西北	约翰内斯堡南非最大的城市，位于该国的东北部，在德班xi1bei3。在其附近发现金矿后于1886年建立，为主要的工业中心。人口703，980	The largest city of South Africa, in the northeast part of the country northwest of Durban. Founded in1886 after the discovery of gold nearby, it is a major industrial center. Population, 703,980.
习惯性	抽筋肌肉xi2guan4xing4或过分活动引起的局部暂时性麻痹	A temporary partial paralysis of habitually or excessively used muscles.
运转	该项装置是按照热力上升的原理yun4zhuan3的。	The system works on the principle that heat rises.
侵入	细菌会qin1ru4有机体。	Germs may invade the organism.
发掘	fa1jue2过去的历史是不容易的。	It is not easy to dig out the past.
场地	获胜的队扛著队长走出chang3di4.	The winning team chaired their captain off the field.
墓地	他的遗体埋葬在教堂的mu4di4里.	His mortal remains are buried in the churchyard.
对了	向导把该地历史的老一套讲得滚瓜烂熟，但当你一问起别的东西时，他就瞠目结舌，无言以dui4le5。	The guide was ready enough with his usual pattern on the history of the place, but as soon as you began to question him on anything outside that, he was all at sea.
篮	宴会上，大家吃掉了好几lan2水果。	Several baskets of fruit were eaten at the party.
酸痛	他膝盖suan1tong4。	He has a pain in the knee.
观	他的人生guan1与你的不同。	His view of life is different from yours.
舞伴	他和他的wu3ban4带头跳一种快步舞。	He led off with his companion in a sort of quick-step.
探险	tan4xian3人员消失在密林里了.	The jungle swallowed up the explorers.
换成	约翰储蓄10分钱的储蓄券，一直到他有足够的钱才huan4cheng225元的公债券。	John saved10 cent savings stamps until he had enough to exchange for a$25bond.
冰块	彗星上的bing1kuai4在太阳热的作用下迅速而壮观地升华成气体。	The comet's ice, heated by the sun, rapidly and spectacular sublimate to gas.
来信	我好久没有收到约翰的lai2xin4了。	I have not heard from John for a long time.
群体	连结，连系有连系的系列或qun2ti3	A connected series or group.
咒语	zhou4yu3将青蛙和老鼠又变回成了人。	The magic spell changed the frogs and rats back into men.
沙子	道路在暴风雪之后铺上了sha1zi5。	The roads were sanded after the snowstorm.
剩余	把客人都挤在sheng4yu2的几个房间里了。	Guests were crowded into the few remaining rooms.
有毒	眼镜蛇通常是you3du2的。	Cobras are usually poisonous.
吃药	我给孩子chi1yao4的，大人，""姑娘哽咽地说，""老天爷作证，我并没有害人之心。""	I gave the baby the medicine, your honour, "" sobbed the girl. ""But as God is my witness, I meant no harm.""
下课	那些男孩子们渴望xia4ke4。	The boys were itching for the lesson to end.
金牌	夺得jin1pai2是她又一值得骄傲的成就.	Winning the gold medal was yet another feather in her cap.
赴	开口问路，罗马可fu4。	He who has a tongue go to rome.
联赛	我们队在上季度的lian2sai4中排名最後.	Our team came/was bottom of the league last season.
诉说	她呜咽着su4shuo1自已的孩子是怎样死去的。	She sobbed out the story of the death of her child.
山羊	客迈拉一种通常被描绘成狮子、shan1yang2和蛇的组合体吐火的雌性怪物	A fire-breathing she-monster usually represented as a composite of a lion, goat, and serpent.
缓慢	鼓声平稳而huan3man4。	The beats of the drum were steady and slow.
淹死	小女孩在河里yan1si3了。	The little girl drowned in the river.
出院	chu1yuan4时，我已经完全痊愈了。	When I left the hospital I was completely cured.
列宁	共产国际世界上共产党的联合，由Lie4ning2在1919年建立，1943年解散	An association of Communist parties of the world, established in1919 by Lenin and dissolved in1943.
何不	我们he2bu4开瓶香槟酒庆祝一下呢？	Why don't we crack open a bottle of champagne to celebrate?
适用	安全驾驶之规则shi4yong4于每个人。	The rules of safe driving apply to everyone.
卷入	他因juan3ru4丑闻, 在名誉上留下污点.	His involvement in the scandal was a blot on his reputation.
用于	画笔yong4yu2画画的刷子	A brush for applying paint.
逊	小说中的事远xun4於实际体验.	Fiction is a poor surrogate for real experience.
对外	紫禁城dui4wai4国旅游者来说是个有巨大吸引力的地方。	Forbidden City is a great magnet for foreign tourists.
恰恰	这qia4qia4减低了他正在提倡的政策本身的价值。	It beggars the very policy he was advocating.
火花	烟火炸开放出一阵huo3hua1.	The firework exploded in a shower of sparks.
债务	我们的zhai4wu4总计为五千美元。	We have debts totaling 5000 dollars.
百万富翁	他不穷, 相反, 他是个bai3wan4 fu4weng1。	He is not poor, on the contrary, he is a millionaire.
更为	我们需要一个geng4wei2灵活的外交政策。	We need a foreign policy that is more flexible.
发热	因发烧而fa1re4的孩子	A child burning with fever.
脚印	他们重踏著脚步穿过厨房走来, 留下了肮脏的jiao3yin4.	They came tramping through the kitchen leaving dirty footmarks.
来讲	因此，对一个从事社会活动的人lai2 jiang3，培养一种嗜好和新的情趣方式，乃是至关重要的对策。	The cultivation of a hobby and new forms of interest is therefore a policy of first importance to a public man.
红灯	只要hong2deng1一亮，就表示有危及职工的险情。	Only if the red light comes on is there any danger to employee.
出轨	有一棵树横在铁轨上, 造成机车chu1gui3.	The engine was derailed by a tree lying across the line.
撤	che4哈拉大部分地区终年无雨。	Most of Sahara receives almost no rain at all.
电线	我们必须先测量dian4xian4的直径。	We must gauge the diameter of wire first.
转动	汽车的轮子开始zhuan3dong4.	The wheels of the car began to turn.
无言	向导把该地历史的老一套讲得滚瓜烂熟，但当你一问起别的东西时，他就瞠目结舌，wu2yan2以对了。	The guide was ready enough with his usual pattern on the history of the place, but as soon as you began to question him on anything outside that, he was all at sea.
游荡	经济萧条时期，有好几百万的失业者在街头you2dang4。	During the depression, millions of the unemployed wandered around in the streets.
明亮	那间办公室又ming2liang4又通风.	The office was light and airy.
涉嫌	警方已编制了she4xian2者名单.	The police have compiled a list of suspects.
肥胖	由于fei2pang4, 大夫叫我停止吃肉。	The doctor told me to cut out meat for my fat.
拉链	la1lian4由平行的金属、塑料或尼龙的齿状物制成的，在开口临近边缘上被滑动的拉环锁住的紧扣物	A fastening device consisting of parallel rows of metal, plastic, or nylon teeth on adjacent edges of an opening that are interlocked by a sliding tab.
憔悴	他显得很qiao2cui4。	He looks haggard.
在内	他们住zai4nei4地.	They live inland.
例	新法li4广获赞同.	The new laws gained widespread acceptance.
敬请	jing4qing3您出席股东会议.	Your presence is requested at the shareholders' meeting.
转运	不要灰心，每个人都有zhuan3yun4的一天。	Don't lose your hope, every dog has his day.
艺术品	所有的yi4shu4pin3中, 我最喜欢那幅油画。	Of all these works of art, the thing I like most is that painting.
以防万一	可能下雨--你最好带把伞, yi3fang2-wan4yi1（下起来）.	It may rain you'd better take an umbrella (just) in case (it does).
行星	土星是依次离太阳的第六颗xing2xing1。	Saturn is the planet sixth in order from the sun.
国土	象中国一样，美国继承了幅员辽阔的guo2tu3，有一望无际的丛山峻岭，沃土良田和无边草原。	Like you, we inherited a vast land of endless skies, tall mountains, rich fields, and open prairies.
好意	我该怎样才能报答你的hao3yi4呢？	How can I ever repay you for your kindness?
持有	这家人chi2you3可以证明他们享有所有权的文件.	The family possessed documents that proved their right to ownership.
谨	我jin3祝您一切顺利。	I'd like to wish you every success.
东部	dong1bu4地区处于东面的区域或地带	An area or a region lying in the east.
日本人	那个加拿大籍Ri4ben3ren2两种语言都精通。	The Canadian-Japanese is at home in both languages.
帕	这出戏里有若干典型的斯托pa4特式的场景.	The play contains a number of typical Stoppard set pieces.
合唱	比尔先唱独唱部分, 然後大家一起he2chang4.	Bill sang the verses and everyone joined in the chorus.
图画	墙上有一张tu2hua4。	There is one picture on the wall.
城镇	敌人占据了这个cheng2zhen4。	The enemy occupied the town.
春季	我们参加了chun1ji4展览会。	We participated in the spring fair.
伸手	我shen1shou3到桌子那端去拿果酱.	I reached across the table for the jam.
宝贝儿	我的bao3bei4r5!	My dearest treasure!
开关	她正找电灯kai1guan1。	She is fumbling the light switch.
碰见	你猜我今天peng4jian4谁了?	Guess who I bumped into today?
议会	yi4hui4决定废除那项法令。	The Congress decided to repeal the law.
面目	野蛮的长相凶恶的或mian4mu4狰狞的	Savage or threatening in appearance.
撤离	为che4li2该城作准备的命令已下达。	Order go out to prepare for the evacuation of the city.
键	有两个输入jian4有毛病。	Two input keys don't work.
